Unforgiven,1992," Clint Eastwood, Gene Hackman",Clint Eastwood ,https://www.imdb.com/title/tt0105695/
Casino,1995," Robert De Niro, Sharon Stone",Martin Scorsese ,https://www.imdb.com/title/tt0112641/
Ran,1985," Tatsuya Nakadai, Akira Terao",Akira Kurosawa ,https://www.imdb.com/title/tt0089881/
Pan's Labyrinth,2006," Ivana Baquero, Ariadna Gil",Guillermo del Toro ,https://www.imdb.com/title/tt0457430/
There Will Be Blood,2007," Daniel Day-Lewis, Paul Dano",Paul Thomas Anderson ,https://www.imdb.com/title/tt0469494/
The Sixth Sense,1999," Bruce Willis, Haley Joel Osment",M. Night Shyamalan ,https://www.imdb.com/title/tt0167404/
A Beautiful Mind,2001," Russell Crowe, Ed Harris",Ron Howard ,https://www.imdb.com/title/tt0268978/
Monty Python and the Holy Grail,1975," Graham Chapman, John Cleese",Terry Gilliam ,https://www.imdb.com/title/tt0071853/
The Truman Show,1998," Jim Carrey, Ed Harris",Peter Weir ,https://www.imdb.com/title/tt0120382/
Yôjinbô,1961," Toshirô Mifune, Eijirô Tôno",Akira Kurosawa ,https://www.imdb.com/title/tt0055630/
The Treasure of the Sierra Madre,1948," Humphrey Bogart, Walter Huston",John Huston ,https://www.imdb.com/title/tt0040897/
Rashômon,1950," Toshirô Mifune, Machiko Kyô",Akira Kurosawa ,https://www.imdb.com/title/tt0042876/
Shutter Island,2010," Leonardo DiCaprio, Emily Mortimer",Martin Scorsese ,https://www.imdb.com/title/tt1130884/
The Great Escape,1963," Steve McQueen, James Garner",John Sturges ,https://www.imdb.com/title/tt0057115/
Jurassic Park,1993," Sam Neill, Laura Dern",Steven Spielberg ,https://www.imdb.com/title/tt0107290/
Kill Bill: Vol. 1,2003," Uma Thurman, David Carradine",Quentin Tarantino ,https://www.imdb.com/title/tt0266697/
No Country for Old Men,2007," Tommy Lee Jones, Javier Bardem",Ethan Coen ,https://www.imdb.com/title/tt0477348/
Finding Nemo,2003," Albert Brooks, Ellen DeGeneres",Andrew Stanton ,https://www.imdb.com/title/tt0266543/
The Elephant Man,1980," Anthony Hopkins, John Hurt",David Lynch ,https://www.imdb.com/title/tt0080678/
Raging Bull,1980," Robert De Niro, Cathy Moriarty",Martin Scorsese ,https://www.imdb.com/title/tt0081398/
Chinatown,1974," Jack Nicholson, Faye Dunaway",Roman Polanski ,https://www.imdb.com/title/tt0071315/
Gone with the Wind,1939," Clark Gable, Vivien Leigh",Victor Fleming ,https://www.imdb.com/title/tt0031381/
V for Vendetta,2005," Hugo Weaving, Natalie Portman",James McTeigue ,https://www.imdb.com/title/tt0434409/
Inside Out,2015," Amy Poehler, Bill Hader",Pete Docter ,https://www.imdb.com/title/tt2096673/
The Thing,1982," Kurt Russell, Wilford Brimley",John Carpenter ,https://www.imdb.com/title/tt0084787/
"Lock, Stock and Two Smoking Barrels",1998," Jason Flemyng, Dexter Fletcher",Guy Ritchie ,https://www.imdb.com/title/tt0120735/
Dial M for Murder,1954," Ray Milland, Grace Kelly",Alfred Hitchcock ,https://www.imdb.com/title/tt0046912/
El secreto de sus ojos,2009," Ricardo Darín, Soledad Villamil",Juan José Campanella ,https://www.imdb.com/title/tt1305806/
The Bridge on the River Kwai,1957," William Holden, Alec Guinness",David Lean ,https://www.imdb.com/title/tt0050212/
Hauru no ugoku shiro,2004," Chieko Baishô, Takuya Kimura",Hayao Miyazaki ,https://www.imdb.com/title/tt0347149/
"Three Billboards Outside Ebbing, Missouri",2017," Frances McDormand, Woody Harrelson",Martin McDonagh ,https://www.imdb.com/title/tt5027774/
Trainspotting,1996," Ewan McGregor, Ewen Bremner",Danny Boyle ,https://www.imdb.com/title/tt0117951/
Gran Torino,2008," Clint Eastwood, Bee Vang",Clint Eastwood ,https://www.imdb.com/title/tt1205489/
Warrior,2011," Tom Hardy, Nick Nolte",Gavin O'Connor ,https://www.imdb.com/title/tt1291584/
Fargo,1996," William H. Macy, Frances McDormand",Joel Coen ,https://www.imdb.com/title/tt0116282/
Tonari no Totoro,1988," Hitoshi Takagi, Noriko Hidaka",Hayao Miyazaki ,https://www.imdb.com/title/tt0096283/
Prisoners,2013," Hugh Jackman, Jake Gyllenhaal",Denis Villeneuve ,https://www.imdb.com/title/tt1392214/
Million Dollar Baby,2004," Hilary Swank, Clint Eastwood",Clint Eastwood ,https://www.imdb.com/title/tt0405159/
The Gold Rush,1925," Charles Chaplin, Mack Swain",Charles Chaplin ,https://www.imdb.com/title/tt0015864/
Blade Runner,1982," Harrison Ford, Rutger Hauer",Ridley Scott ,https://www.imdb.com/title/tt0083658/
Catch Me If You Can,2002," Leonardo DiCaprio, Tom Hanks",Steven Spielberg ,https://www.imdb.com/title/tt0264464/
On the Waterfront,1954," Marlon Brando, Karl Malden",Elia Kazan ,https://www.imdb.com/title/tt0047296/
The Third Man,1949," Orson Welles, Joseph Cotten",Carol Reed ,https://www.imdb.com/title/tt0041959/
Bacheha-Ye aseman,1997," Mohammad Amir Naji, Amir Farrokh Hashemian",Majid Majidi ,https://www.imdb.com/title/tt0118849/
Ben-Hur,1959," Charlton Heston, Jack Hawkins",William Wyler ,https://www.imdb.com/title/tt0052618/
12 Years a Slave,2013," Chiwetel Ejiofor, Michael Kenneth Williams",Steve McQueen ,https://www.imdb.com/title/tt2024544/
The General,1926," Buster Keaton, Marion Mack",Clyde Bruckman ,https://www.imdb.com/title/tt0017925/
Gone Girl,2014," Ben Affleck, Rosamund Pike",David Fincher ,https://www.imdb.com/title/tt2267998/
Smultronstället,1957," Victor Sjöström, Bibi Andersson",Ingmar Bergman ,https://www.imdb.com/title/tt0050986/
Before Sunrise,1995," Ethan Hawke, Julie Delpy",Richard Linklater ,https://www.imdb.com/title/tt0112471/
The Deer Hunter,1978," Robert De Niro, Christopher Walken",Michael Cimino ,https://www.imdb.com/title/tt0077416/
Harry Potter and the Deathly Hallows: Part 2,2011," Daniel Radcliffe, Emma Watson",David Yates ,https://www.imdb.com/title/tt1201607/
In the Name of the Father,1993," Daniel Day-Lewis, Pete Postlethwaite",Jim Sheridan ,https://www.imdb.com/title/tt0107207/
The Grand Budapest Hotel,2014," Ralph Fiennes, F. Murray Abraham",Wes Anderson ,https://www.imdb.com/title/tt2278388/
Mr. Smith Goes to Washington,1939," James Stewart, Jean Arthur",Frank Capra ,https://www.imdb.com/title/tt0031679/
Le salaire de la peur,1953," Yves Montand, Charles Vanel",Henri-Georges Clouzot ,https://www.imdb.com/title/tt0046268/
Barry Lyndon,1975," Ryan O'Neal, Marisa Berenson",Stanley Kubrick ,https://www.imdb.com/title/tt0072684/
Sherlock Jr.,1924," Buster Keaton, Kathryn McGuire",Buster Keaton ,https://www.imdb.com/title/tt0015324/
Salinui chueok,2003," Song Kang-ho, Kim Sang-kyung",Bong Joon Ho ,https://www.imdb.com/title/tt0353969/
Room,2015," Brie Larson, Jacob Tremblay",Lenny Abrahamson ,https://www.imdb.com/title/tt3170832/
Hacksaw Ridge,2016," Andrew Garfield, Sam Worthington",Mel Gibson ,https://www.imdb.com/title/tt2119532/
Klaus,2019," Jason Schwartzman, J.K. Simmons",Sergio Pablos ,https://www.imdb.com/title/tt4729430/
Det sjunde inseglet,1957," Max von Sydow, Gunnar Björnstrand",Ingmar Bergman ,https://www.imdb.com/title/tt0050976/
Relatos salvajes,2014," Darío Grandinetti, María Marull",Damián Szifron ,https://www.imdb.com/title/tt3011894/
The Big Lebowski,1998," Jeff Bridges, John Goodman",Joel Coen ,https://www.imdb.com/title/tt0118715/
How to Train Your Dragon,2010," Jay Baruchel, Gerard Butler",Dean DeBlois ,https://www.imdb.com/title/tt0892769/
Mad Max: Fury Road,2015," Tom Hardy, Charlize Theron",George Miller ,https://www.imdb.com/title/tt1392190/
Mary and Max.,2009," Toni Collette, Philip Seymour Hoffman",Adam Elliot ,https://www.imdb.com/title/tt0978762/
"Monsters, Inc.",2001," Billy Crystal, John Goodman",Pete Docter ,https://www.imdb.com/title/tt0198781/
Jaws,1975," Roy Scheider, Robert Shaw",Steven Spielberg ,https://www.imdb.com/title/tt0073195/
La passion de Jeanne d'Arc,1928," Maria Falconetti, Eugene Silvain",Carl Theodor Dreyer ,https://www.imdb.com/title/tt0019254/
Hotel Rwanda,2004," Don Cheadle, Sophie Okonedo",Terry George ,https://www.imdb.com/title/tt0395169/
Dead Poets Society,1989," Robin Williams, Robert Sean Leonard",Peter Weir ,https://www.imdb.com/title/tt0097165/
Tôkyô monogatari,1953," Chishû Ryû, Chieko Higashiyama",Yasujirô Ozu ,https://www.imdb.com/title/tt0046438/
